"Company_name","Company_address","Company_descriptions","Company_email","Company_phone","Company_fax","Company_web","Company_maps","Company_products_and_services","Company_categories"
"DEN-JET MARINE PTE LTD","101 Second Lok Yang Road Singapore 628172","Nature of Business Manufacture of DEN-JET high pressure cleaners Complete machines: ò Water blasters 350 - 1400 bar ò Ultra high pressure blasters up to 2800 bar ò Air & hydraulic driven units ò ATEX EEX units Accessories for all brands: ò Various type of nozzles ò Wet sandblasting ò High pressure hoses up to 3000 bar ò Dry/dump guns up to 2800 bar ò Pneumatic guns for UHP's ò All type of fittings & connectors","'denjetmarine@denjet.co","tel:(65) 6268 1238","tel:(65) 6268 2270","http://www.denjet.com","https://www.google.com/maps/embed/v1/place?key=AIzaSyDr9nq_d5jft_wgcZ_WMcFELKpJOBzbfZA&q=DEN-JET%20MARINE%20PTE%20LTD%2C%20101%20Second%20Lok%20Yang%20Road%2C%20Singapore%20628172","https://www.sgmaritime.com/products/cdt50-series","https://www.sgmaritime.com/categories/marine-offshore-services"
"GLOBE MARINE ELECTRICAL PTE LTD","Block 1080 Eunos Avenue 7 01-159 Singapore 409583","Nature of Business ò Electrical's winches","'globeme@singnet.com.sg","tel:(65) 6747 5167","tel:(65) 6745 2681","None","https://www.google.com/maps/embed/v1/place?key=AIzaSyDr9nq_d5jft_wgcZ_WMcFELKpJOBzbfZA&q=GLOBE%20MARINE%20ELECTRICAL%20PTE%20LTD%2C%20Block%201080%20Eunos%20Avenue%207%20%2301-159%2C%20Singapore%20409583","https://www.sgmaritime.com/products/electric-contractors-marine","https://www.sgmaritime.com/categories/shipbuilders-marine-contractors"
"ROXTEC SINGAPORE PTE LTD","16 Boon Lay Way #01-46 TradeHub 21 Singapore 609965","Nature of Business Roxtec is the world-leading provider of flexible modular-based cable and pipe seals. The companyÆs invention for adaptability to cables and pipes of different sizes Roxtec sealing solutions provide certified protection against multiple risks such as fire  The solution simplifies design and engineering ","'sales@sg.roxtec.com'","tel:(65) 6863 1700","None","http://www.roxtec.com","https://www.google.com/maps/embed/v1/place?key=AIzaSyDr9nq_d5jft_wgcZ_WMcFELKpJOBzbfZA&q=ROXTEC%20SINGAPORE%20PTE%20LTD%2C%2016%20Boon%20Lay%20Way%20%2301-46%20TradeHub%2021%2C%20Singapore%20609965","https://www.sgmaritime.com/products/roxtec-cable-entry-solutions","https://www.sgmaritime.com/categories/marine-equipment-supplies-1"
"ASP SHIP MANAGEMENT GROUP","152 Beach Road #05-01 Gateway East Singapore 189721","Nature of Business The ASP Group is a global third party ship manager providing a complete range of integrated marine services. Above all else our professional staff are dedicated to managing ships safely. Our regional fleet management offices are structured to provide personal service to our clients in their own immediate geographic area. This uniquely decentralised approach ensures that the client is never any great distance from his manager - regardless of the global nature of the maritime industry. A combination of traditional marine skills combined with cutting edge IT technology makes ASP a world leader in third party ship management. ","None","tel:(65) 6576 5700","tel:(65) 6576 5702","http://www.aspships.com","https://www.google.com/maps/embed/v1/place?key=AIzaSyDr9nq_d5jft_wgcZ_WMcFELKpJOBzbfZA&q=ASP%20SHIP%20MANAGEMENT%20GROUP%2C%20152%20Beach%20Road%20%2305-01%20Gateway%20East%2C%20Singapore%20189721","https://www.sgmaritime.com/products/technical-management","https://www.sgmaritime.com/categories/shipping-companies"
"BENG HUI MARINE ELECTRICAL PTE LTD","8 Penjuru Lane Singapore 609189","Nature of Business Beng Hui Marine Electrical Pte Ltd Specialised Stockist: Cable Solutions ò NEK 606 offshore cables ò Marine shipboard cables ò Industrial cables ò Coaxial cables ò Marine data cables ò Fibre optic cables ò Cable accessories á Lighting Solutions-ò Searchlights ò Floodlights ò Navigation lights ò ATEX lightings ò LED lightings ò Helideck lights ò Exit lights ò Pendant lights ò Lighting accessories Other Marine Solutions-ò ATEX sounders & beacons ò Alarms & signalling equipment ò Ship horns ò Battery chargers and accessories ò Switchboard controls and automation Our Brands: ò 3M ò ABB ò AIK ò Astralux ò CCG ò Clifford & Snell ò DHR ò DTS ò Gewiss ò General Electric ò Haixing ò Holland Aviation ò Ibuki ò IDRM ò KVM ò LittleFlex ò Mastervolt ò Mennekes ò Mica Elecktro ò Moflash ò NEK Cable ò Nitto Chemical ò PEPL ò Peters & Bey ò Phillips ò Polamrem ò R. Stahl ò Radpol ò Rittal ò Sanshin ò Schneider Electric ò Seoul Electric Cable ò SOP LED Lighting ò Southwire ò Sunlux ò Techno ò Terasaki ò Vossloh-Schwabe ò Wiska ò Wolf","'sales@bhglobal.com.sg'","tel:(65) 6291 4444","tel:(65) 6291 5777","http://www.bhglobal.com.sg","https://www.google.com/maps/embed/v1/place?key=AIzaSyDr9nq_d5jft_wgcZ_WMcFELKpJOBzbfZA&q=1.308482","https://www.sgmaritime.com/products/marine-and-offshore-cable","https://www.sgmaritime.com/categories/marine-equipment-supplies-1"
"CABLE SOURCE PTE LTD","27 Kian Teck Avenue Singapore 628907","Nature of Business Marine and Offshore- XLPE insulated fire resistant and flame retardant power and instrument cables- All cables available with or without screening","'sales@cablesource.com.","tel:(65) 6268 2787","tel:(65) 6268 0287","http://www.cablesource.com.sg","https://www.google.com/maps/embed/v1/place?key=AIzaSyDr9nq_d5jft_wgcZ_WMcFELKpJOBzbfZA&q=CABLE%20SOURCE%20PTE%20LTD%2C%2027%20Kian%20Teck%20Avenue%2C%20Singapore%20628907","https://www.sgmaritime.com/products/cables","https://www.sgmaritime.com/categories/marine-equipment-supplies-1"
"CHEE CHEE & CO PTE LTD","89 Second Lok Yang Road Singapore 628165","Nature of Business Galvanised wire rope; stainless steel wire rope; manila rope; polypropylene rope; polyethylene rope; nylon rope; shackles; turnbuckles; hook & chain; nylon slings; customised wire rope fabrication","'info@cheecheeandco.com","tel:(65) 6298 0456","tel:(65) 6266 4656","http://www.cheecheeandco.com","https://www.google.com/maps/embed/v1/place?key=AIzaSyDr9nq_d5jft_wgcZ_WMcFELKpJOBzbfZA&q=CHEE%20CHEE%20%26%20CO%20PTE%20LTD%2C%2089%20Second%20Lok%20Yang%20Road%2C%20Singapore%20628165","https://www.sgmaritime.com/products/8-strand-rope","https://www.sgmaritime.com/categories/marine-equipment-supplies-1"
"CITISAFE PTE LTD","Block 20 Woodlands Link #03-30 S ingapore 738733","Nature of Business CitiSafe Pte Ltd offers services and solutions in regards to industrial and environmental safety and hygiene including gas detection","'sales@citisafe.com.sg'","tel:(65) 6482 4582","tel:(65) 6482 4381","http://www.citisafe.com.sg","https://www.google.com/maps/embed/v1/place?key=AIzaSyDr9nq_d5jft_wgcZ_WMcFELKpJOBzbfZA&q=CITISAFE%20PTE%20LTD%2C%20Block%2020%20Woodlands%20Link%20%2303-30%2C%20Singapore%20738733","https://www.sgmaritime.com/products/rae-systems-qrae-ii-multi-gas-detector","https://www.sgmaritime.com/categories/marine-equipment-supplies-1"
"CROWCON DETECTION INSTRUMENTS LTD","Block 194 Pandan Loop #06-20 Pantech Business Hub Singapore 128383","Nature of Business Crowcon Detection Instruments has a mission to protect people and plant from gas hazards. Customers from North Sea oil platforms to South American steel mills rely on Crowcon gas detectors to keep them safe.áFor over 40 years Crowcon has been developing and manufacturing high quality products with a reputation for reliability and technical innovation.áWith its head office in Abingdon","'sales@crowcon.com.sg'","tel:(65) 6745 2936","tel:(65) 6745 0467","http://www.crowcon.com","https://www.google.com/maps/embed/v1/place?key=AIzaSyDr9nq_d5jft_wgcZ_WMcFELKpJOBzbfZA&q=CROWCON%20DETECTION%20INSTRUMENTS%20LTD%2C%20Block%20194%20Pandan%20Loop%20%2306-20%20Pantech%20Business%20Hub%2C%20Singapore%20128383","https://www.sgmaritime.com/products/tetra-3","https://www.sgmaritime.com/categories/marine-equipment-supplies-1"
"ECHELON ENGINEERING PTE LTD","705 Sims Drive #02-16B Shun Li Industrial Complex Singapore 387384","Nature of Business Specialise in: ò Sole distributor and stockist for Plibrico/Calderys refractory ò Supply of materials and installation ò Complete refractory lining works on industrial boilers ò Supply insulation materials - Rockwool wire blankets ò Sole distributor for Facultatieve Technologies Incinerators and Gas Emission Control Systems ò Provide experienced refractory workers and supervisors ò Provide non-destructive thermal imaging and analysis services","'sales@echelon.sg'","tel:(65) 6848 9407","tel:(65) 6848 9406","http://www.echelon.sg","https://www.google.com/maps/embed/v1/place?key=AIzaSyDr9nq_d5jft_wgcZ_WMcFELKpJOBzbfZA&q=ECHELON%20ENGINEERING%20PTE%20LTD%2C%20705%20Sims%20Drive%20%2302-16B%20Shun%20Li%20Industrial%20Complex%2C%20Singapore%20387384","https://www.sgmaritime.com/products/calderys-plibrico-refractory-materials","https://www.sgmaritime.com/categories/corporate-profiles-1"
